,name,date,NO2,Pre-Shelter in place mean,Post-Shelter in place mean
0,Redwood City,2020-02-01,0.012604347826086956,0.011839483989298653,
1,San Francisco-Arkansas Street,2020-02-01,0.014078260869565217,0.011839483989298653,
2,Vallejo-304 Tuolumne Street,2020-02-01,0.01138695652173913,0.011839483989298653,
3,San Rafael,2020-02-01,0.010365217391304346,0.011839483989298653,
4,Concord-2956-A Treat Blvd,2020-02-01,0.00961304347826087,0.011839483989298653,
5,Oakland-9925 International Blvd,2020-02-01,0.016652173913043477,0.011839483989298653,
6,Livermore-793 Rincon Avenue,2020-02-01,0.011734782608695654,0.011839483989298653,
7,San Jose-Jackson Street,2020-02-01,0.014072727272727271,0.011839483989298653,
8,San Pablo-Rumrill Blvd,2020-02-01,0.010504347826086956,0.011839483989298653,
9,Oakland-West,2020-02-01,0.016643478260869565,0.011839483989298653,
10,Oakland-Laney College                   ,2020-02-01,0.019821739130434786,0.011839483989298653,
11,Sebastopol-103 Morris Street            ,2020-02-01,0.004208695652173913,0.011839483989298653,
12,San Jose-Knox Avenue                    ,2020-02-01,0.018091304347826086,0.011839483989298653,
13,Berkeley-Aquatic Park                   ,2020-02-01,0.018230434782608697,0.011839483989298653,
14,Napa-Valley College,2020-02-01,0.006569565217391304,0.011839483989298653,
15,Pleasanton-Owens Ct                     ,2020-02-01,0.013708695652173914,0.011839483989298653,
16,Redwood City,2020-02-02,0.004243478260869566,0.011839483989298653,
17,San Francisco-Arkansas Street,2020-02-02,0.004482608695652175,0.011839483989298653,
18,Vallejo-304 Tuolumne Street,2020-02-02,0.002578260869565217,0.011839483989298653,
19,San Rafael,2020-02-02,0.002308695652173913,0.011839483989298653,
20,Concord-2956-A Treat Blvd,2020-02-02,0.004004347826086956,0.011839483989298653,
21,Oakland-9925 International Blvd,2020-02-02,0.005795652173913042,0.011839483989298653,
22,Livermore-793 Rincon Avenue,2020-02-02,0.004552173913043477,0.011839483989298653,
23,San Jose-Jackson Street,2020-02-02,0.0044181818181818185,0.011839483989298653,
24,San Pablo-Rumrill Blvd,2020-02-02,0.003808695652173913,0.011839483989298653,
25,Oakland-West,2020-02-02,0.006256521739130435,0.011839483989298653,
26,Oakland-Laney College                   ,2020-02-02,0.008539130434782608,0.011839483989298653,
27,Sebastopol-103 Morris Street            ,2020-02-02,0.0022869565217391303,0.011839483989298653,
28,San Jose-Knox Avenue                    ,2020-02-02,0.00843913043478261,0.011839483989298653,
29,Berkeley-Aquatic Park                   ,2020-02-02,0.00823478260869565,0.011839483989298653,
30,Napa-Valley College,2020-02-02,0.0039782608695652175,0.011839483989298653,
31,Pleasanton-Owens Ct                     ,2020-02-02,0.006930434782608695,0.011839483989298653,
32,Redwood City,2020-02-03,0.009130434782608695,0.011839483989298653,
33,San Francisco-Arkansas Street,2020-02-03,0.006256521739130435,0.011839483989298653,
34,Vallejo-304 Tuolumne Street,2020-02-03,0.011421739130434785,0.011839483989298653,
35,San Rafael,2020-02-03,0.007569565217391303,0.011839483989298653,
36,Concord-2956-A Treat Blvd,2020-02-03,0.010543478260869566,0.011839483989298653,
37,Oakland-9925 International Blvd,2020-02-03,0.00886086956521739,0.011839483989298653,
38,Livermore-793 Rincon Avenue,2020-02-03,0.007965217391304348,0.011839483989298653,
39,San Jose-Jackson Street,2020-02-03,0.016068421052631576,0.011839483989298653,
40,San Pablo-Rumrill Blvd,2020-02-03,0.0022347826086956527,0.011839483989298653,
41,Oakland-West,2020-02-03,0.007995652173913044,0.011839483989298653,
42,Oakland-Laney College                   ,2020-02-03,0.0060521739130434795,0.011839483989298653,
43,Sebastopol-103 Morris Street            ,2020-02-03,0.00692608695652174,0.011839483989298653,
